"","AAPL","IBM","GOOGL","MSFT"
"2007-01-31",0.0230307600858619,0.0193280202189638,0.0725208559816994,0.0334893734692265
"2007-02-28",-0.0130642153303219,-0.0598078735894739,-0.103788651333977,-0.0840026577553693
"2007-03-30",0.0980974328954947,0.0142024904576883,0.0193792440523803,-0.0106496135006788
"2007-04-30",0.074157590033967,0.0843414034949688,0.0288545108401637,0.074273339004602
"2007-05-31",0.214328834228053,0.0470106070062517,0.0562816033790674,0.0283707936830209
"2007-06-29",0.00701369840230637,-0.0126642624369208,0.049788063771379,-0.0397524454217919
"2007-07-31",0.0796461387357879,0.0513070090423082,-0.024296911632012,-0.0162878363541165
"2007-08-31",0.0510016660639327,0.0583146326531128,0.0102941076052074,-0.005494914384504
"2007-09-28",0.108246758385926,0.00951229026040123,0.100960721416499,0.02540923655447
"2007-10-31",0.237701225376526,-0.014261057431158,0.246320101638878,0.249490860437715
"2007-11-30",-0.0406950258085791,-0.0909999318990838,-0.0198020142502279,-0.0841867391820671
"2007-12-31",0.0870380486413223,0.0277616462392156,-0.00219330819778107,0.0595236391108369
"2008-01-31",-0.316640066955591,-0.00915801845420794,-0.183924340906044,-0.0842698585697738
"2008-02-29",-0.0763884898034078,0.0670834240221183,-0.165018628844873,-0.162401868160238
"2008-03-31",0.147815809836255,0.0112420174760017,-0.0651767517858022,0.0433822737130383
"2008-04-30",0.212195376569036,0.0482889894328042,0.303811817588914,0.00493304826778873
"2008-05-30",0.0850822160819624,0.0767115438673571,0.0200421814609828,-0.00335731386327787
"2008-06-30",-0.112900636889962,-0.0842156161940177,-0.101365673864333,-0.028601493345723
"2008-07-31",-0.0507050405791674,0.0797265066348751,-0.100053234959359,-0.0650675081886742
"2008-08-29",0.0665618708594324,-0.0451308330594742,-0.0220791299453938,0.0652742191725471
"2008-09-30",-0.329558139668811,-0.0391852787455508,-0.135487476830215,-0.0219860239771664
"2008-10-31",-0.0534050270911262,-0.205112760226188,-0.102766403853081,-0.163357467310887
"2008-11-28",-0.138674602844714,-0.11739101798653,-0.184772908450397,-0.088356992322855
"2008-12-31",-0.07898991777871,0.0313726668122003,0.0501432778586683,-0.0385759590420436
"2009-01-30",0.0560047841181448,0.0889976596774797,0.10037383480925,-0.120370124594819
"2009-02-27",-0.00909794415417686,0.00960845700891966,-0.00159509490022036,-0.0490801119328463
"2009-03-31",0.17702368099508,0.0528088705784575,0.0297937738812764,0.137461389539739
"2009-04-30",0.197013105139514,0.0652287229391153,0.137648649681298,0.102885108211995
"2009-05-29",0.0793132170813553,0.0351234268432998,0.0536909332700088,0.0376437691951421
"2009-06-30",0.048744481979536,-0.0175006375717014,0.0104499093020143,0.137864968445915
"2009-07-31",0.14715989308301,0.12938123784179,0.0509025212039929,-0.0105173382127978
"2009-08-31",0.0295000710608211,0.00568633803528185,0.0420268662336651,0.0539369502855755
"2009-09-30",0.10189670963021,0.0132148914995438,0.0740355385191969,0.0434077449269981
"2009-10-30",0.0169948517200447,0.00836031715915597,0.0812141249498155,0.0781492337010206
"2009-11-30",0.0605299437989024,0.052293260756507,0.0874430188307467,0.0652726248859457
"2009-12-31",0.05412490533234,0.0360108871951035,0.0634305533330326,0.0363819394609219
"2010-01-29",-0.0885968761705344,-0.0650114539832323,-0.145230491290577,-0.0754591322005299
"2010-02-26",0.0653962767222169,0.0436206697336707,-0.00592516690156575,0.0221458330061379
"2010-03-31",0.148470115802669,0.00857201989010359,0.0765375688889951,0.0216253819669185
"2010-04-30",0.11102142022388,0.00584797553638694,-0.0730357363187045,0.0426766785437431
"2010-05-28",-0.0161244511636136,-0.0240149815033869,-0.0762221195084707,-0.151394438799942
"2010-06-30",-0.020827206726732,-0.0142105546782011,-0.0837675039453537,-0.108139444875797
"2010-07-30",0.0227409403160708,0.0398441251307899,0.0896730034827977,0.121686182979183
"2010-08-31",-0.0550047906528178,-0.0362916577608187,-0.071836662176795,-0.0858117607840865
"2010-09-30",0.167215065363488,0.0894176282546348,0.168370392892668,0.0434599320536284
"2010-10-29",0.0607226510957335,0.0705235796571329,0.167195996606953,0.0890156452660198
"2010-11-30",0.0337893168025956,-0.0105248249898338,-0.094492400675425,-0.0470486798092531
"2010-12-31",0.036670895161105,0.0374661653783348,0.0688488234419293,0.104908951970516
"2011-01-31",0.0519589508581804,0.103843088443718,0.0107580610386047,-0.00644938903242442
"2011-02-28",0.0409349128169587,0.00321593167122258,0.0217203801023087,-0.0358058075589026
"2011-03-31",-0.0133066907852839,0.00735067894301644,-0.0434300917400199,-0.0447705832374086
"2011-04-29",0.00464823184017571,0.0460540815342352,-0.0727043339083617,0.0208744893693731
"2011-05-31",-0.00656903728556946,-0.00524422347935216,-0.0277154909887354,-0.0287837203304081
"2011-06-30",-0.034959400827575,0.0155091847260709,-0.0427961039189609,0.0395843646815526
"2011-07-29",0.163285322967937,0.0600412146843396,0.192167936507462,0.0538460735886062
"2011-08-31",-0.0144694447748995,-0.0505440142339131,-0.103910933386379,-0.0230696270503007
"2011-09-30",-0.00912052760590887,0.0172183081466644,-0.0479148862084648,-0.0642856230716379
"2011-10-31",0.0615229861269084,0.0558127532459569,0.150667906116699,0.0699075674982612
"2011-11-30",-0.0557834078286255,0.0223462962629164,0.0113897432203123,-0.0321961374821331
"2011-12-30",0.0596544696019341,-0.0219148406684311,0.077595594553169,0.0148552780751079
"2012-01-31",0.127111069753312,0.0474219171704182,-0.101857931130932,0.137519214753233
"2012-02-29",0.188310705844764,0.0254208929570412,0.0657462289466699,0.0819155254523651
