"","AAPL","IBM","GOOGL","MSFT"
"2018-08-24",216.160004,146.039993,1236.75,108.400002
"2018-08-27",217.940002,146.690002,1256.27002,109.599998
"2018-08-28",219.699997,146.589996,1245.859985,110.260002
"2018-08-29",222.979996,147.539993,1264.650024,112.019997
"2018-08-30",225.029999,145.929993,1254.439941,111.949997
"2018-08-31",227.630005,146.479996,1231.800049,112.330002
"2018-09-04",228.360001,145.679993,1211.310059,111.709999
"2018-09-05",226.869995,146.660004,1199.099976,108.489998
"2018-09-06",223.100006,146.389999,1183.98999,108.739998
"2018-09-07",221.300003,145.449997,1177.589966,108.209999
"2018-09-10",218.330002,145.649994,1175.060059,109.379997
"2018-09-11",223.850006,146.490005,1189.98999,111.239998
"2018-09-12",221.070007,146.570007,1171.599976,111.709999
"2018-09-13",226.410004,148.949997,1182.140015,112.910004
"2018-09-14",223.839996,148.330002,1177.97998,113.370003
"2018-09-17",217.880005,147.940002,1159.829956,112.139999
"2018-09-18",218.240005,148.559998,1167.109985,113.209999
"2018-09-19",218.369995,149.059998,1174.27002,111.699997
"2018-09-20",220.029999,151.149994,1191.569946,113.57
"2018-09-21",217.660004,151.350006,1172.119995,114.260002
"2018-09-24",220.789993,150.029999,1179.560059,114.669998
"2018-09-25",222.190002,148.910004,1193.890015,114.449997
"2018-09-26",220.419998,151.610001,1194.060059,113.980003
"2018-09-27",224.949997,151.5,1207.359985,114.410004
"2018-09-28",225.740005,151.210007,1207.079956,114.370003
"2018-10-01",227.259995,153,1208.530029,115.610001
"2018-10-02",229.279999,153.75,1207.640015,115.150002
"2018-10-03",232.070007,153.220001,1211.530029,115.169998
"2018-10-04",227.990005,151.309998,1177.069946,112.790001
"2018-10-05",224.289993,149.029999,1167.829956,112.129997
"2018-10-08",223.770004,148.389999,1155.920044,110.849998
"2018-10-09",226.869995,147.240005,1145.170044,112.260002
"2018-10-10",216.360001,142.690002,1092.160034,106.160004
"2018-10-11",214.449997,139.020004,1090.73999,105.910004
"2018-10-12",222.110001,140.850006,1120.540039,109.57
"2018-10-15",217.360001,141.130005,1102.439941,107.599998
"2018-10-16",222.149994,145.119995,1133.079956,111
"2018-10-17",221.190002,134.050003,1127.589966,110.709999
"2018-10-18",216.020004,130.550003,1097.910034,108.5
"2018-10-19",219.309998,129.100006,1105.180054,108.660004
"2018-10-22",220.649994,130.020004,1111.369995,109.629997
"2018-10-23",222.729996,131.210007,1114.910034,108.099998
"2018-10-24",215.089996,127.209999,1057.119995,102.32
"2018-10-25",219.800003,126.449997,1103.589966,108.300003
"2018-10-26",216.300003,124.790001,1083.75,106.959999
"2018-10-29",212.240005,119.639999,1034.72998,103.849998
"2018-10-30",213.300003,115.400002,1049.51001,103.730003
"2018-10-31",218.860001,115.43,1090.579956,106.809998
"2018-11-01",222.220001,116.830002,1085.97998,105.919998
"2018-11-02",207.479996,115.669998,1071.48999,106.160004
"2018-11-05",201.589996,120.059998,1055.72998,107.510002
"2018-11-06",203.770004,123.120003,1069.569946,107.720001
"2018-11-07",209.949997,124.839996,1108.23999,111.959999
"2018-11-08",208.490005,123.379997,1094.630005,111.75
"2018-11-09",204.470001,123.540001,1077.02002,109.57
"2018-11-12",194.169998,120.900002,1049.359985,106.870003
"2018-11-13",192.229996,120.839996,1047.969971,106.940002
"2018-11-14",186.800003,120.199997,1054.579956,104.970001
"2018-11-15",191.410004,121.440002,1071.050049,107.279999
